Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,dispStage,selfOut,dispersion,trophicLevel,maxSize
Alnus rubra,-121.893,36.9886,139,3088,246,37,209,654,91,7,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.242,37.1547,127,3223,239,35,204,937,87,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.232,37.1606,127,3223,239,35,204,937,87,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.27167,37.87167,144,2876,234,60,174,567,88,7,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.7866797,38.04074238,131,3141,236,40,196,1010,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.6592,45.5156,117,5436,267,10,257,1048,57,89,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.44306,47.25306,106,4932,245,2,243,1021,58,89,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.4287753,37.55284607,128,2753,219,49,170,798,86,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-120.73838,45.87017,84,6912,281,65485,332,419,66,35,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.89944,47.03806,103,4983,252,1,251,1262,62,92,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-121.52101,45.74761,109,6439,280,65520,296,870,73,46,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.675,45.5236,115,5406,266,8,258,1062,58,89,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.05579,38.45611,128,3179,245,32,213,1117,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.0558,38.4561,128,3179,245,32,213,1117,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9572,45.0483,113,5291,273,5,268,1029,62,71,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.0071,44.1085,109,5060,268,6,262,1332,64,87,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0423,44.6213,106,2864,189,36,153,1891,63,126,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1445,41.0594,112,2566,197,37,160,1382,73,45,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123,40,59,5175,228,65485,279,1457,76,47,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122,37,139,3251,250,36,214,743,92,8,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-128.31667,50.76667,86,3331,162,22,140,2629,44,281,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-130.33333,54.25,63,4562,162,65506,192,2330,36,331,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123,38,126,2493,221,44,177,990,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124,39,55537,55537,55537,55537,55537,55537,55537,55537,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.25081,49.25408,97,5242,223,65535,224,1232,53,125,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124,41,111,3529,228,21,207,1443,75,43,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124,40,107,3941,247,14,233,1889,82,33,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122,38,150,4644,289,34,255,478,88,6,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-132.83,56.66,48,5319,167,65480,223,2124,35,345,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.6624,39.2601,117,3063,230,26,204,1102,83,19,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.5475,37.906,137,3121,231,49,182,962,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.26056,40.57889,111,2335,189,42,147,1517,79,34,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-125.75,50.2,82,4589,196,65535,197,2004,49,223,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-128.68333,54.66667,27,6692,179,65440,275,1139,40,162,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-1.20336,51.74055,98,4687,212,6,206,644,13,133,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0787,40.8754,117,2771,204,40,164,1209,75,37,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-128.58333,54.03333,52,6456,196,65470,262,1909,50,204,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124,42,102,4335,248,3,245,1843,76,60,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.71667,49.35,79,5144,219,65522,233,1705,59,142,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.05,41.3008,111,2890,210,28,182,1651,74,55,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,22.88,52.45,70,8183,235,65459,312,557,35,86,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.25,49.15,98,5439,239,65525,250,1661,44,190,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.93333,49.05,91,5336,230,65527,239,1287,62,104,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-132.41,56.58,55537,55537,55537,55537,55537,55537,55537,55537,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123,50,35,6562,198,65437,297,1033,45,141,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-116.0357,48.41661,41,7541,247,65432,351,892,38,124,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-115.82833,47.855,55,7405,265,65446,355,917,40,121,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-115.6735,47.7391,44,7413,257,65433,360,937,39,125,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-115.78289,48.11104,67,7614,281,65455,362,769,38,108,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-115.8904,47.96243,48,7409,256,65440,352,931,40,124,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-121.42447,49.6565,69,7105,235,65472,299,1057,51,116,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.29636,49.91599,76,6260,226,65494,268,1387,51,154,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.614,48.6129,97,4376,214,5,209,785,43,100,Plant,embryo,outcrosser,wind,primary,25000
